,Gender,App,Offer
359,F,12.5,REJECT
360,F,12.5,REJECT
361,M,12.5,REJECT
362,M,12.5,REJECT
363,M,12.5,REJECT
364,M,12.5,REJECT
365,M,12.5,REJECT
366,M,12.5,REJECT
367,M,12.5,REJECT
368,F,12.5,REJECT
369,F,13.0,REJECT
370,M,13.0,REJECT
371,M,13.0,REJECT
372,M,13.0,REJECT
373,F,13.0,REJECT
374,M,13.0,REJECT
375,M,13.0,REJECT
376,F,13.0,REJECT
377,F,13.0,REJECT
378,F,13.0,REJECT
379,F,13.0,REJECT
380,M,13.0,REJECT
381,F,13.0,REJECT
382,M,13.0,REJECT
383,M,13.0,REJECT
384,M,13.0,REJECT
385,N,13.0,REJECT
386,F,13.5,Offer
387,M,13.5,Offer
388,F,13.5,OFFER
389,F,13.5,OFFER
390,F,13.5,OFFER
391,M,13.5,OFFER
392,F,13.5,REJECT
393,M,13.5,REJECT
394,M,13.5,REJECT
395,N,13.5,REJECT
396,F,13.5,REJECT
397,F,13.5,REJECT
398,F,13.5,REJECT
399,M,13.5,REJECT
400,F,13.5,REJECT
401,F,13.5,REJECT
402,F,13.5,REJECT
403,F,13.5,REJECT
404,F,14.0,Offer
405,F,14.0,OFFER
406,M,14.0,OFFER
407,F,14.0,OFFER
408,M,14.0,OFFER
409,M,14.0,OFFER
410,F,14.0,OFFER
411,M,14.0,OFFER
412,M,14.0,REJECT
413,F,14.0,REJECT
414,F,14.0,REJECT
415,M,14.0,REJECT
416,F,14.0,REJECT
417,M,14.0,REJECT
418,F,14.0,REJECT
419,F,14.0,REJECT
420,F,14.0,REJECT
421,F,14.0,REJECT
422,F,14.0,REJECT
423,N,14.0,REJECT
424,M,14.0,REJECT
425,M,14.0,REJECT
426,M,14.5,Offer
427,F,14.5,Offer
428,M,14.5,OFFER
429,F,14.5,OFFER
430,M,14.5,OFFER
431,F,14.5,OFFER
432,F,14.5,OFFER
433,F,14.5,OFFER
434,,14.5,OFFER
435,M,14.5,REJECT
436,M,14.5,REJECT
437,M,14.5,REJECT
438,N,14.5,REJECT
439,F,14.5,REJECT
440,F,14.5,REJECT
441,F,14.5,REJECT
442,N,14.5,REJECT
443,M,14.5,REJECT
444,F,14.5,REJECT
445,F,14.5,REJECT
446,M,14.5,REJECT
447,F,14.5,REJECT
448,F,15.0,Offer
449,F,15.0,Offer
450,F,15.0,Offer
451,M,15.0,Offer
452,F,15.0,Offer
453,F,15.0,Offer
454,F,15.0,OFFER
455,M,15.0,REJECT
456,M,15.0,REJECT
457,F,15.0,REJECT
458,F,15.0,REJECT
459,M,15.0,REJECT
460,M,15.5,OFFER
461,F,15.5,OFFER
462,F,15.5,OFFER
463,M,15.5,OFFER
464,M,15.5,OFFER
465,F,15.5,REJECT
466,M,15.5,REJECT
467,F,15.5,REJECT
468,M,15.5,REJECT
469,M,15.5,REJECT
470,M,15.5,REJECT
471,M,15.5,REJECT
472,F,15.5,REJECT
473,M,16.0,Offer
474,M,16.0,Offer
475,F,16.0,Offer
476,F,16.0,OFFER
477,F,16.0,OFFER
478,N,16.0,OFFER
479,M,16.0,OFFER
480,F,16.0,REJECT
481,F,16.0,REJECT
482,F,16.0,REJECT
483,F,16.0,REJECT
484,M,16.0,REJECT
485,M,16.0,REJECT
486,F,16.5,OFFER
487,F,16.5,OFFER
488,F,16.5,OFFER
489,F,16.5,OFFER
490,F,16.5,OFFER
491,M,16.5,OFFER
492,M,16.5,OFFER
493,F,16.5,REJECT
494,F,16.5,REJECT
495,M,16.5,REJECT
496,M,17.0,Offer
497,F,17.0,Offer
498,F,17.0,Offer
499,F,17.0,OFFER
500,F,17.0,OFFER
501,F,17.0,REJECT
502,F,17.0,REJECT
503,F,17.0,REJECT
